"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
33,47,2,1,16,2,3,1,3,5300,27
33,28,1,5,20,2,1,1,3,35000,13
33,23,1,5,19,1,1,1,3,9400,18
33,62,1,1,22,1,1,1,1,89130,15
33,57,1,1,21,2,1,1,1,38120,15
33,54,1,3,14,1,1,1,1,60300,7
33,16,1,5,13,1,6,1,1,8000,9
33,43,1,1,19,1,1,1,1,87000,26
33,43,1,1,20,2,6,1,1,0,23
33,12,1,5,8,1,NA,1,1,NA,20
33,8,1,5,4,1,NA,1,1,NA,20
33,5,1,5,2,1,NA,1,1,NA,21
33,39,1,3,11,2,1,1,1,17550,61
33,15,1,5,11,2,NA,1,1,0,64
33,0,1,5,NA,2,NA,1,3,NA,65
33,59,1,1,16,2,1,1,1,21600,21
33,59,1,1,16,1,1,1,1,21300,23
33,25,1,5,10,1,1,1,1,17000,62
33,85,1,2,16,2,6,1,1,12000,16
33,70,1,1,19,1,6,1,1,20910,13
33,64,1,1,16,2,6,1,1,150,16
33,28,4,1,16,1,1,1,1,50000,60
33,25,5,1,21,2,6,1,1,0,56
33,1,1,5,NA,2,NA,1,1,NA,62
33,65,1,3,21,2,1,1,1,45000,50
33,62,1,1,14,1,1,1,1,50000,3
33,58,1,1,14,2,6,1,1,160,3
33,20,1,5,16,1,1,1,3,30000,21
33,19,1,5,18,1,1,1,1,13000,35
33,21,1,5,16,1,1,1,1,10000,32
33,20,1,5,16,1,1,1,1,18000,32
33,75,1,1,18,1,1,1,1,37500,6
33,69,1,1,16,2,1,1,1,40400,8
33,79,1,2,18,2,6,1,1,40000,16
33,82,1,5,16,2,6,1,1,45200,16
33,58,1,1,16,1,1,1,1,77000,18
33,44,1,1,21,2,1,1,1,44910,18
33,13,1,5,10,2,NA,1,1,NA,14
33,34,1,1,22,1,1,1,1,110000,43
33,30,1,1,16,2,6,1,1,0,56
33,9,1,5,6,2,NA,1,1,NA,45
33,6,1,5,3,1,NA,1,1,NA,49
33,30,1,1,18,1,1,1,1,55000,5
33,28,1,1,21,2,6,1,1,0,5
33,4,1,5,1,2,NA,1,1,NA,9
33,1,1,5,NA,2,NA,1,1,NA,8
33,81,1,2,13,2,6,1,1,6500,19
33,78,1,2,16,2,6,1,1,19600,15
33,19,1,5,18,1,6,1,1,2500,21
33,62,1,1,23,1,1,1,1,225000,19
33,61,1,1,22,2,1,1,1,206000,19
33,35,1,1,18,1,6,1,1,5000,8
33,27,1,1,21,2,1,1,1,36000,22
33,26,1,1,20,1,1,8,2,37000,21
33,41,1,3,22,1,1,1,1,98000,24
33,39,1,3,16,2,1,1,1,25000,22
33,46,1,3,19,2,1,1,1,33310,12
33,52,1,3,16,1,6,1,1,40600,18
33,70,1,1,11,1,1,1,1,10200,18
33,60,1,1,16,2,1,1,1,23300,20
33,39,1,1,18,1,1,1,1,41500,17
33,37,1,1,16,2,1,1,1,22000,16
33,9,1,5,6,1,NA,1,1,NA,22
33,29,1,1,22,2,1,1,1,10000,29
