"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
56,2,1,5,NA,1,NA,1,1,NA,53
56,18,1,5,18,2,6,1,1,2000,26
56,38,1,1,16,1,1,1,1,90000,2
56,38,1,1,16,2,6,1,1,0,2
56,19,1,5,18,2,6,1,1,3600,4
56,15,1,5,11,1,NA,1,1,0,4
56,13,1,5,9,1,NA,1,1,NA,3
56,44,1,1,20,1,1,1,1,32300,5
56,46,1,1,19,2,1,1,1,43200,5
56,12,1,5,8,1,NA,1,1,NA,4
56,59,1,1,20,1,1,1,1,70000,11
56,52,1,1,16,2,1,1,1,30000,9
56,24,1,1,16,1,1,1,1,28600,13
56,23,1,1,18,2,6,1,1,240,21
56,2,1,5,NA,2,NA,1,1,NA,12
56,1,1,5,NA,1,NA,1,1,NA,15
56,53,1,1,16,1,1,1,1,61200,21
56,51,1,1,19,2,1,1,1,19000,24
56,62,1,2,12,1,6,1,2,11900,45
56,21,1,1,13,2,6,1,2,12500,62
56,4,1,5,1,2,NA,1,2,NA,27
56,29,1,3,17,1,6,1,2,18600,17
56,20,1,5,19,2,1,1,1,4500,18
56,50,1,1,16,1,2,1,1,80000,13
56,44,1,1,20,2,1,1,1,33000,16
56,78,1,3,19,2,1,1,1,25560,13
56,47,1,1,21,2,6,1,1,0,13
56,48,1,1,15,1,1,1,1,56100,14
56,74,1,1,19,2,6,1,1,12300,5
56,68,1,2,18,2,6,1,1,8800,20
56,67,1,1,21,2,1,1,1,11300,25
56,73,1,1,17,1,1,1,1,11100,37
56,61,1,1,24,1,1,1,1,158650,6
56,56,1,1,16,2,6,1,1,0,4
56,33,1,5,22,2,1,1,1,68000,18
56,41,1,1,22,1,1,1,1,29800,18
56,28,1,1,21,2,1,1,1,21400,14
56,52,1,4,19,2,6,1,1,4360,12
56,14,1,5,11,1,NA,1,1,NA,22
56,13,1,5,9,1,NA,1,1,NA,22
56,23,1,5,16,1,3,1,1,5000,21
56,48,1,1,19,2,6,1,1,0,11
56,50,1,1,19,1,1,1,1,120000,14
56,8,1,5,5,1,NA,1,1,NA,20
56,58,1,1,16,1,1,1,1,60000,13
56,52,1,1,16,2,1,1,1,52000,12
56,74,1,1,16,2,6,1,1,6500,4
56,77,1,1,16,1,6,1,1,15800,3
56,27,1,5,16,2,1,1,1,20000,17
56,55,1,2,21,2,1,1,1,18600,6
56,58,1,1,19,1,1,1,1,8110,25
56,46,1,1,20,2,6,1,1,54000,19
56,54,1,1,20,1,1,1,1,108000,22
56,53,1,1,16,2,6,1,1,800,18
56,66,1,1,20,2,6,1,1,35730,20
56,67,1,1,11,1,6,1,1,29980,16
56,45,1,3,19,1,1,1,1,46200,17
56,55,1,2,16,2,1,1,1,10000,4
56,25,1,5,19,1,1,1,1,30000,7
56,23,1,3,16,1,1,1,1,45000,5
56,27,1,5,21,1,1,1,1,45080,11
56,72,1,2,21,2,6,1,1,60600,20
56,60,1,1,16,2,6,1,2,24000,45
56,61,1,1,19,1,6,1,1,148700,55
56,37,1,3,19,1,1,1,1,55000,15
56,13,1,5,9,2,NA,1,1,NA,17
56,81,1,1,21,1,6,1,1,14130,31
56,80,1,1,19,2,6,1,1,6900,18
56,39,1,5,16,2,1,1,2,48000,30
56,17,1,5,13,1,1,1,2,4900,20
56,14,1,5,11,2,NA,1,2,NA,16
56,12,1,5,9,1,NA,1,2,NA,11
56,48,1,5,16,1,1,1,2,31400,13
56,61,1,1,19,1,1,1,1,33300,15
56,48,1,1,21,2,1,1,1,12000,37
56,21,1,5,19,2,1,1,1,12000,14
56,26,1,5,16,1,1,1,1,50000,19
56,43,1,3,21,2,1,1,1,45050,16
56,17,1,5,14,2,6,1,1,670,14
56,11,1,5,8,1,NA,1,1,NA,14
56,73,1,2,19,2,6,1,1,8500,22
56,42,1,5,16,1,1,1,1,13700,23
56,51,1,3,13,1,1,1,1,27500,43
56,43,1,1,15,1,1,1,1,62000,15
56,33,1,1,19,2,6,1,1,0,13
56,10,1,5,6,1,NA,1,1,NA,17
56,8,1,5,4,1,NA,1,1,NA,17
56,3,1,5,1,1,NA,1,1,NA,18
56,3,1,5,1,1,NA,1,1,NA,18
56,47,1,1,19,1,1,1,1,50250,25
56,49,1,1,23,2,1,1,1,140000,26
56,69,1,1,21,2,6,1,1,8600,14
56,78,1,1,21,1,6,1,1,22600,20
56,22,1,5,19,2,3,1,1,910,20
56,62,1,3,17,1,1,1,1,42800,28
56,84,1,2,18,2,6,1,1,7300,12
56,93,1,2,16,2,6,1,1,10200,24
56,61,1,1,16,1,1,1,1,1,68
56,58,1,1,16,2,1,1,1,38000,52
56,84,1,1,16,1,6,1,1,9000,5
56,83,1,1,14,2,6,1,1,0,4
56,58,1,1,21,1,1,1,1,50000,18
56,52,1,1,16,2,1,1,1,23000,13
56,71,1,1,18,2,6,1,1,10900,10
56,84,1,1,18,1,6,1,1,43000,15
56,54,1,5,19,1,6,1,1,46900,35
56,45,1,2,21,2,6,1,1,20400,14
56,9,1,5,5,2,NA,1,1,NA,15
56,7,1,5,3,2,NA,1,1,NA,15
56,7,1,5,3,1,NA,1,1,NA,20
56,34,1,1,18,2,6,1,1,0,5
56,37,5,1,16,1,1,1,1,90000,4
56,4,1,5,2,2,NA,1,1,NA,4
56,2,1,5,NA,2,NA,1,1,NA,4
56,51,1,3,19,2,1,1,1,75400,20
56,23,1,5,19,2,1,1,1,25000,27
56,18,1,5,16,1,6,1,1,0,12
56,68,1,1,19,1,6,1,1,16000,8
56,55,1,5,21,1,1,1,1,24000,28
56,23,1,5,21,1,1,1,1,35800,21
56,32,1,1,21,1,1,1,1,55100,10
