"","ST","age","citizen","marital","education","employment","race","sex","n","weighted_share_of_state","state"
"175",1,1,1,2,3,2,3,1,1539,0.000322146740666222,"al"
"176",1,1,1,2,3,2,3,2,1898,0.000397293381276471,"al"
"177",1,1,1,2,3,2,4,1,673,0.000140873785879381,"al"
"178",1,1,1,2,3,2,4,2,645,0.000135012766556019,"al"
"179",1,1,1,2,3,2,5,1,1801,0.000376989135763396,"al"
"180",1,1,1,2,3,2,5,2,2423,0.00050718749358951,"al"
"181",1,1,1,2,4,1,1,1,16993,0.0035570107629247,"al"
"182",1,1,1,2,4,1,1,2,23251,0.00486694858169612,"al"
"183",1,1,1,2,4,1,2,1,6487,0.00135787258395178,"al"
"184",1,1,1,2,4,1,2,2,16071,0.00336401576949113,"al"
"185",1,1,1,2,4,1,3,1,545,0.000114080554686869,"al"
"186",1,1,1,2,4,1,3,2,387,8.10076599336114e-05,"al"
"187",1,1,1,2,4,1,4,1,213,4.458561128129e-05,"al"
"188",1,1,1,2,4,1,4,2,164,3.43288274654064e-05,"al"
"189",1,1,1,2,4,1,5,1,237,4.96093421298861e-05,"al"
"190",1,1,1,2,4,1,5,2,490,0.000102567838158836,"al"
"191",1,1,1,2,4,2,1,1,6553,0.00137168784378541,"al"
"192",1,1,1,2,4,2,1,2,11227,0.0023500594265495,"al"
"193",1,1,1,2,4,2,2,1,3444,0.000720905376773534,"al"
"194",1,1,1,2,4,2,2,2,7069,0.00147969805703023,"al"
"195",1,1,1,2,4,2,3,1,98,2.05135676317672e-05,"al"
"196",1,1,1,2,4,2,3,2,281,5.88195153523121e-05,"al"
"197",1,1,1,2,4,2,4,1,75,1.56991589018627e-05,"al"
"198",1,1,1,2,4,2,4,2,54,1.13033944093411e-05,"al"
"199",1,1,1,2,4,2,5,1,351,7.34720636607173e-05,"al"
"200",1,1,1,2,4,2,5,2,410,8.58220686635159e-05,"al"
"201",1,1,1,2,5,1,1,1,37764,0.00790484049026589,"al"
"202",1,1,1,2,5,1,1,2,42328,0.00886018663997391,"al"
"203",1,1,1,2,5,1,2,1,10433,0.00218385766430844,"al"
"204",1,1,1,2,5,1,2,2,22313,0.00467060443436349,"al"
"205",1,1,1,2,5,1,3,1,782,0.000163689896816755,"al"
"206",1,1,1,2,5,1,3,2,1218,0.00025495434056625,"al"
"207",1,1,1,2,5,1,4,1,540,0.000113033944093411,"al"
"208",1,1,1,2,5,1,4,2,835,0.000174783969107404,"al"
"209",1,1,1,2,5,1,5,1,615,0.000128733102995274,"al"
"210",1,1,1,2,5,1,5,2,814,0.000170388204614883,"al"
"211",1,1,1,2,5,2,1,1,15003,0.00314045974672861,"al"
"212",1,1,1,2,5,2,1,2,19811,0.00414688049339735,"al"
"213",1,1,1,2,5,2,2,1,2922,0.00061163923081657,"al"
"214",1,1,1,2,5,2,2,2,6948,0.00145437008066856,"al"
"215",1,1,1,2,5,2,3,1,249,5.21212075541841e-05,"al"
"216",1,1,1,2,5,2,3,2,176,3.68406928897044e-05,"al"
"217",1,1,1,2,5,2,4,1,191,3.99805246700769e-05,"al"
"218",1,1,1,2,5,2,4,2,170,3.55847601775554e-05,"al"
"219",1,1,1,2,5,2,5,1,399,8.35195253579094e-05,"al"
"220",1,1,1,2,5,2,5,2,486,0.00010173054968407,"al"
"221",1,1,1,2,6,1,1,1,13305,0.00278503078919044,"al"
"222",1,1,1,2,6,1,1,2,20114,0.00421030509536088,"al"
"223",1,1,1,2,6,1,2,1,2626,0.000549679883683885,"al"
"224",1,1,1,2,6,1,2,2,10324,0.00216104155337107,"al"
"225",1,1,1,2,6,1,3,1,186,3.89339140766194e-05,"al"
"226",1,1,1,2,6,1,3,2,225,4.7097476705588e-05,"al"
"227",1,1,1,2,6,1,4,1,287,6.00754480644612e-05,"al"
"228",1,1,1,2,6,1,4,2,319,6.67737558625892e-05,"al"
"229",1,1,1,2,6,1,5,1,321,6.71924000999722e-05,"al"
"230",1,1,1,2,6,1,5,2,553,0.000115755131636401,"al"
"231",1,1,1,2,6,2,1,1,5608,0.00117387844162194,"al"
"232",1,1,1,2,6,2,1,2,10515,0.00220102207804115,"al"
"233",1,1,1,2,6,2,2,1,1240,0.000259559427177463,"al"
"234",1,1,1,2,6,2,2,2,4281,0.000896107990118321,"al"
"235",1,1,1,2,6,2,3,1,135,2.82584860233528e-05,"al"
"236",1,1,1,2,6,2,3,2,107,2.23974666999907e-05,"al"
"237",1,1,1,2,6,2,4,1,18,3.76779813644704e-06,"al"
"238",1,1,1,2,6,2,4,2,57,1.19313607654156e-05,"al"
"239",1,1,1,2,6,2,5,1,74,1.54898367831712e-05,"al"
"240",1,1,1,2,6,2,5,2,149,3.11889956850338e-05,"al"
"241",1,1,2,1,1,1,1,1,115,2.40720436495228e-05,"al"
"242",1,1,2,1,1,1,1,2,59,1.23500050027986e-05,"al"
"243",1,1,2,1,1,1,2,1,49,1.02567838158836e-05,"al"
"244",1,1,2,1,1,1,2,2,27,5.65169720467056e-06,"al"
"245",1,1,2,1,1,1,3,1,11224,0.00234943146019342,"al"
"246",1,1,2,1,1,1,3,2,3497,0.000731999449064184,"al"
"247",1,1,2,1,1,1,4,1,378,7.91237608653879e-05,"al"
"248",1,1,2,1,1,1,4,2,296,6.19593471326847e-05,"al"
"249",1,1,2,1,1,1,5,1,68,1.42339040710222e-05,"al"
"250",1,1,2,1,1,2,1,1,96,2.00949233943842e-05,"al"
"251",1,1,2,1,1,2,1,2,305,6.38432462009082e-05,"al"
"252",1,1,2,1,1,2,2,1,21,4.39576449252155e-06,"al"
"253",1,1,2,1,1,2,2,2,20,4.18644237383005e-06,"al"
"254",1,1,2,1,1,2,3,1,1474,0.000308540802951274,"al"
"255",1,1,2,1,1,2,3,2,5592,0.00117052928772288,"al"
"256",1,1,2,1,1,2,4,1,86,1.80017022074692e-05,"al"
"257",1,1,2,1,1,2,4,2,551,0.000115336487399018,"al"
"258",1,1,2,1,1,2,5,2,113,2.36533994121398e-05,"al"
"259",1,1,2,1,2,1,1,1,553,0.000115755131636401,"al"
"260",1,1,2,1,2,1,1,2,541,0.000113243266212103,"al"
"261",1,1,2,1,2,1,2,1,101,2.11415339878417e-05,"al"
"262",1,1,2,1,2,1,2,2,162,3.39101832280234e-05,"al"
"263",1,1,2,1,2,1,3,1,5844,0.00122327846163314,"al"
"264",1,1,2,1,2,1,3,2,1594,0.000333659457194255,"al"
"265",1,1,2,1,2,1,4,1,684,0.000143176329184988,"al"
"266",1,1,2,1,2,1,4,2,509,0.000106544958413975,"al"
"267",1,1,2,1,2,1,5,1,108,2.26067888186822e-05,"al"
"268",1,1,2,1,2,1,5,2,10,2.09322118691502e-06,"al"
"269",1,1,2,1,2,2,1,1,101,2.11415339878417e-05,"al"
"270",1,1,2,1,2,2,1,2,742,0.000155317012069095,"al"
