"","ST","age","education","race","sex","n","weighted_share_of_state","state"
"373",2,3,3,2,1,979,0.00137666475892899,"ak"
"374",2,3,3,2,2,574,0.000807155844356729,"ak"
"375",2,3,3,3,1,814,0.0011446426085477,"ak"
"376",2,3,3,3,2,1158,0.00162837363722142,"ak"
"377",2,3,3,4,1,1102,0.00154962672557686,"ak"
"378",2,3,3,4,2,883,0.0012416700532526,"ak"
"379",2,3,3,5,1,3448,0.00484855984554356,"ak"
"380",2,3,3,5,2,4031,0.00566837144355745,"ak"
"381",2,3,4,1,1,4652,0.00654161844590158,"ak"
"382",2,3,4,1,2,4913,0.00690863530195925,"ak"
"383",2,3,4,2,1,521,0.000732627517264557,"ak"
"384",2,3,4,2,2,338,0.000475293859568945,"ak"
"385",2,3,4,3,1,396,0.000556853160915095,"ak"
"386",2,3,4,3,2,574,0.000807155844356729,"ak"
"387",2,3,4,4,1,277,0.000389515973670408,"ak"
"388",2,3,4,4,2,324,0.000455607131657805,"ak"
"389",2,3,4,5,1,559,0.000786062921594794,"ak"
"390",2,3,4,5,2,909,0.00127823111937329,"ak"
"391",2,3,5,1,1,9908,0.0139325785816837,"ak"
"392",2,3,5,1,2,11073,0.0155707955828607,"ak"
"393",2,3,5,2,1,351,0.000493574392629289,"ak"
"394",2,3,5,2,2,391,0.000549822186661117,"ak"
"395",2,3,5,3,1,528,0.000742470881220127,"ak"
"396",2,3,5,3,2,883,0.0012416700532526,"ak"
"397",2,3,5,4,1,519,0.000729815127562966,"ak"
"398",2,3,5,4,2,1081,0.00152009663371015,"ak"
"399",2,3,5,5,1,581,0.000816999208312299,"ak"
"400",2,3,5,5,2,1244,0.00174930639438984,"ak"
"401",2,3,6,1,1,6379,0.00897011695322574,"ak"
"402",2,3,6,1,2,6728,0.00946087895615344,"ak"
"403",2,3,6,2,1,213,0.000299519503219483,"ak"
"404",2,3,6,2,2,95,0.000133588510825591,"ak"
"405",2,3,6,3,1,450,0.000632787682858063,"ak"
"406",2,3,6,3,2,314,0.000441545183149848,"ak"
"407",2,3,6,4,1,347,0.000487949613226106,"ak"
"408",2,3,6,4,2,434,0.000610288565245332,"ak"
"409",2,3,6,5,1,221,0.000310769062025849,"ak"
"410",2,3,6,5,2,517,0.000727002737861374,"ak"
"411",2,4,1,1,1,1975,0.0027772348303215,"ak"
"412",2,4,1,1,2,1573,0.00221194450030163,"ak"
"413",2,4,1,2,1,121,0.000170149576946279,"ak"
"414",2,4,1,2,2,253,0.000355767297251311,"ak"
"415",2,4,1,3,1,399,0.000561071745467482,"ak"
"416",2,4,1,3,2,358,0.000503417756584859,"ak"
"417",2,4,1,4,1,665,0.000935119575779137,"ak"
"418",2,4,1,4,2,1161,0.0016325922217738,"ak"
"419",2,4,1,5,1,1527,0.00214725953716503,"ak"
"420",2,4,1,5,2,1390,0.00195461084260602,"ak"
"421",2,4,2,1,1,14791,0.0207990280381191,"ak"
"422",2,4,2,1,2,9758,0.0137216493540644,"ak"
"423",2,4,2,2,1,438,0.000615913344648515,"ak"
"424",2,4,2,2,2,244,0.00034311154359415,"ak"
"425",2,4,2,3,1,770,0.00108277003511269,"ak"
"426",2,4,2,3,2,496,0.000697472645994665,"ak"
"427",2,4,2,4,1,1259,0.00177039931715178,"ak"
"428",2,4,2,4,2,1298,0.00182524091633281,"ak"
"429",2,4,2,5,1,4192,0.00589476881453556,"ak"
"430",2,4,2,5,2,3268,0.00459544477240033,"ak"
"431",2,4,3,1,1,15731,0.0221208511978671,"ak"
"432",2,4,3,1,2,15607,0.0219464830363684,"ak"
"433",2,4,3,2,1,390,0.000548415991810321,"ak"
"434",2,4,3,2,2,691,0.000971680641899825,"ak"
"435",2,4,3,3,1,413,0.000580758473378622,"ak"
"436",2,4,3,3,2,689,0.000968868252198234,"ak"
"437",2,4,3,4,1,597,0.00083949832592503,"ak"
"438",2,4,3,4,2,659,0.000926682406674363,"ak"
"439",2,4,3,5,1,2730,0.00383891194267225,"ak"
"440",2,4,3,5,2,3204,0.00450544830194941,"ak"
"441",2,4,4,1,1,4995,0.0070239432797245,"ak"
"442",2,4,4,1,2,5389,0.007577984050938,"ak"
"443",2,4,4,2,1,258,0.000362798271505289,"ak"
"444",2,4,4,2,2,152,0.000213741617320946,"ak"
"445",2,4,4,3,1,102,0.000143431874781161,"ak"
"446",2,4,4,3,2,290,0.000407796506730752,"ak"
"447",2,4,4,4,1,114,0.000160306212990709,"ak"
"448",2,4,4,4,2,102,0.000143431874781161,"ak"
"449",2,4,4,5,1,484,0.000680598307785117,"ak"
"450",2,4,4,5,2,764,0.00107433286600791,"ak"
"451",2,4,5,1,1,11414,0.0160503080269821,"ak"
"452",2,4,5,1,2,9602,0.0135022829573403,"ak"
"453",2,4,5,2,1,320,0.000449982352254623,"ak"
"454",2,4,5,2,2,379,0.000532947848451569,"ak"
"455",2,4,5,3,1,135,0.000189836304857419,"ak"
"456",2,4,5,3,2,311,0.000437326598597461,"ak"
"457",2,4,5,4,1,612,0.000860591248686966,"ak"
"458",2,4,5,4,2,865,0.00121635854593828,"ak"
"459",2,4,5,5,1,621,0.000873247002344127,"ak"
"460",2,4,5,5,2,1007,0.00141603821475127,"ak"
"461",2,4,6,1,1,8054,0.0113254933283085,"ak"
"462",2,4,6,1,2,7304,0.0102708471902118,"ak"
"463",2,4,6,2,1,134,0.000188430110006623,"ak"
"464",2,4,6,2,2,115,0.000161712407841505,"ak"
"465",2,4,6,3,1,196,0.000275614190755956,"ak"
"466",2,4,6,3,2,141,0.000198273473962193,"ak"
"467",2,4,6,4,1,187,0.000262958437098795,"ak"
"468",2,4,6,4,2,246,0.000345923933295741,"ak"
"469",2,4,6,5,1,382,0.000537166433003956,"ak"
"470",2,4,6,5,2,661,0.000929494796375955,"ak"
"471",2,5,1,1,1,2010,0.00282645165009935,"ak"
"472",2,5,1,1,2,2079,0.00292347909480425,"ak"
"473",2,5,1,2,1,64,8.99964704509245e-05,"ak"
"474",2,5,1,2,2,241,0.000338892959041763,"ak"
